Date,Description,Amount
2026-04-01,Salary - Acme Corp,2800.00
2026-04-02,Tesco Express,-38.45
2026-04-03,TFL Travel,-12.40
2026-04-04,Uber Eats,-18.90
2026-04-05,Netflix Subscription,-12.99
2026-04-06,Sainsbury's,-52.10
2026-04-08,Spotify,-9.99
2026-04-09,Pret a Manger,-7.20
2026-04-10,Shell Petrol,-45.00
2026-04-11,Amazon Order,-34.50
2026-04-12,Uber Eats,-21.40
2026-04-14,Tesco Express,-28.30
2026-04-15,Council Tax,-140.00
2026-04-16,Vodafone Phone Bill,-22.00
2026-04-17,Cinema Odeon,-15.50
2026-04-18,Pret a Manger,-6.80
2026-04-19,Restaurant Dishoom,-68.90
2026-04-20,Lidl Groceries,-41.20
2026-04-22,TFL Travel,-12.40
2026-04-25,Rent Payment,-700.00
2026-04-27,Uber Eats,-17.50
2026-04-28,Boots Pharmacy,-12.80
2026-04-30,Gym Membership,-28.00
2026-05-01,Salary - Acme Corp,2800.00
2026-05-01,Rent Payment,-700.00
2026-05-02,Uber Eats,-22.40
2026-05-02,Tesco Express,-42.10
2026-05-03,Deliveroo,-28.90
2026-05-03,Starbucks,-5.40
2026-05-03,Uber Eats,-19.50
2026-05-04,Amazon Order,-89.99
2026-05-04,Uber Eats,-24.30
2026-05-04,Pret a Manger,-8.20
